Home,Away,Winner,Margin,Stadium,Date
Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare,14-Mar-04
West Indies,Bangladesh,West Indies,1 wicket,Kingstown,15-May-04
West Indies,Bangladesh,West Indies,23 runs,Kingstown,16-May-04
West Indies,Bangladesh,West Indies,7 wickets,St George's,19-May-04
Bangladesh,Hong Kong,Bangladesh,116 runs,Colombo (SSC),16-Jul-04
Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC),17-Jul-04
Bangladesh,India,India,8 wickets,Colombo (SSC),21-Jul-04
Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Colombo (RPS),23-Jul-04
Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS),29-Jul-04
Bangladesh,South Africa,South Africa,9 wickets,Birmingham,12-Sep-04
Bangladesh,West Indies,West Indies,138 runs,Southampton,15-Sep-04
Bangladesh,New Zealand,New Zealand,138 runs,Chattogram,02-Nov-04
Bangladesh,New Zealand,New Zealand,3 wickets,Dhaka,05-Nov-04
Bangladesh,New Zealand,New Zealand,83 runs,Dhaka,07-Nov-04
Bangladesh,India,India,11 runs,Chattogram,23-Dec-04
Bangladesh,India,Bangladesh,15 runs,Dhaka,26-Dec-04
Bangladesh,India,India,91 runs,Dhaka,27-Dec-04
Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,20-Jan-05
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chattogram,24-Jan-05
Bangladesh,Zimbabwe,Bangladesh,40 runs,Chattogram,26-Jan-05
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,29-Jan-05
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,31-Jan-05
England,Bangladesh,England,10 wickets,The Oval,16-Jun-05
Australia,Bangladesh,Bangladesh,5 wickets,Cardiff,18-Jun-05
England,Bangladesh,England,168 runs,Nottingham,21-Jun-05
Australia,Bangladesh,Australia,10 wickets,Manchester,25-Jun-05
England,Bangladesh,England,5 wickets,Leeds,26-Jun-05
Australia,Bangladesh,Australia,6 wickets,Canterbury,30-Jun-05
Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC),31-Aug-05
Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS),02-Sep-05
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),04-Sep-05
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra,20-Feb-06
Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra,22-Feb-06
Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chattogram,25-Feb-06
Bangladesh,Kenya,Bangladesh,131 runs,Bogra,17-Mar-06
Bangladesh,Kenya,Bangladesh,9 wickets,Khulna,20-Mar-06
Bangladesh,Kenya,Bangladesh,20 runs,Fatullah,23-Mar-06
Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah,25-Mar-06
Bangladesh,Australia,Australia,4 wickets,Chattogram,23-Apr-06
Bangladesh,Australia,Australia,67 runs,Fatullah,26-Apr-06
Bangladesh,Australia,Australia,9 wickets,Fatullah,28-Apr-06
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,29-Jul-06
Zimbabwe,Bangladesh,Bangladesh,62 runs,Harare,30-Jul-06
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,02-Aug-06
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,04-Aug-06
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,06-Aug-06
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),12-Aug-06
Kenya,Bangladesh,Bangladesh,2 wickets,Nairobi (Gym),13-Aug-06
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),15-Aug-06
Bangladesh,Sri Lanka,Sri Lanka,37 runs,Mohali,07-Oct-06
Bangladesh,West Indies,West Indies,10 wickets,Jaipur,11-Oct-06
Bangladesh,Zimbabwe,Bangladesh,101 runs,Jaipur,13-Oct-06
Bangladesh,Zimbabwe,Bangladesh,9 wickets,Khulna,30-Nov-06
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Bogra,03-Dec-06
Bangladesh,Zimbabwe,Bangladesh,26 runs,Bogra,05-Dec-06
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,08-Dec-06
Bangladesh,Zimbabwe,Bangladesh,3 wickets,Mirpur,09-Dec-06
Bangladesh,Scotland,Bangladesh,6 wickets,Chattogram,15-Dec-06
Bangladesh,Scotland,Bangladesh,146 runs,Mirpur,17-Dec-06
Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare,04-Feb-07
Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare,06-Feb-07
Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare,09-Feb-07
Zimbabwe,Bangladesh,Bangladesh,1 wicket,Harare,10-Feb-07
Bangladesh,Bermuda,Bangladesh,8 wickets,St John's,25-Feb-07
Bangladesh,Canada,Bangladesh,13 runs,St John's,28-Feb-07
Bangladesh,India,Bangladesh,5 wickets,Port of Spain,17-Mar-07
Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain,21-Mar-07
Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain,25-Mar-07
Australia,Bangladesh,Australia,10 wickets,North Sound,31-Mar-07
Bangladesh,New Zealand,New Zealand,9 wickets,North Sound,02-Apr-07
Bangladesh,South Africa,Bangladesh,67 runs,Providence,07-Apr-07
Bangladesh,England,England,4 wickets,Bridgetown,11-Apr-07
Bangladesh,Ireland,Ireland,74 runs,Bridgetown,15-Apr-07
West Indies,Bangladesh,West Indies,99 runs,Bridgetown,19-Apr-07
Bangladesh,India,India,5 wickets,Mirpur,10-May-07
Bangladesh,India,India,46 runs,Mirpur,12-May-07
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (PSS),20-Jul-07
Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (RPS),23-Jul-07
Sri Lanka,Bangladesh,Sri Lanka,39 runs,Colombo (RPS),25-Jul-07
New Zealand,Bangladesh,New Zealand,6 wickets,Auckland,26-Dec-07
New Zealand,Bangladesh,New Zealand,102 runs,Napier,28-Dec-07
New Zealand,Bangladesh,New Zealand,10 wickets,Queenstown,31-Dec-07
Bangladesh,South Africa,South Africa,9 wickets,Chattogram,09-Mar-08
Bangladesh,South Africa,South Africa,7 wickets,Mirpur,12-Mar-08
Bangladesh,South Africa,South Africa,7 wickets,Mirpur,14-Mar-08
Bangladesh,Ireland,Bangladesh,8 wickets,Mirpur,18-Mar-08
Bangladesh,Ireland,Bangladesh,84 runs,Mirpur,20-Mar-08
Bangladesh,Ireland,Bangladesh,79 runs,Mirpur,22-Mar-08
Pakistan,Bangladesh,Pakistan,152 runs,Lahore,08-Apr-08
Pakistan,Bangladesh,Pakistan,7 wickets,Faisalabad,11-Apr-08
Pakistan,Bangladesh,Pakistan,23 runs,Lahore,13-Apr-08
Pakistan,Bangladesh,Pakistan,7 wickets,Multan,16-Apr-08
Pakistan,Bangladesh,Pakistan,150 runs,Karachi,19-Apr-08
Bangladesh,Pakistan,Pakistan,70 runs,Mirpur,08-Jun-08
Bangladesh,India,India,7 wickets,Mirpur,12-Jun-08
Bangladesh,U.A.E.,Bangladesh,96 runs,Lahore,24-Jun-08
Bangladesh,Sri Lanka,Sri Lanka,131 runs,Lahore,25-Jun-08
Bangladesh,India,India,7 wickets,Karachi,28-Jun-08
Bangladesh,Sri Lanka,Sri Lanka,158 runs,Karachi,30-Jun-08
Pakistan,Bangladesh,Pakistan,10 wickets,Karachi,04-Jul-08
Australia,Bangladesh,Australia,180 runs,Darwin,30-Aug-08
Australia,Bangladesh,Australia,8 wickets,Darwin,03-Sep-08
Australia,Bangladesh,Australia,73 runs,Darwin,06-Sep-08
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,09-Oct-08
Bangladesh,New Zealand,New Zealand,75 runs,Mirpur,11-Oct-08
Bangladesh,New Zealand,New Zealand,79 runs,Chattogram,14-Oct-08
South Africa,Bangladesh,South Africa,61 runs,Potchefstroom,07-Nov-08
South Africa,Bangladesh,South Africa,128 runs,Benoni,09-Nov-08
Bangladesh,Zimbabwe,Zimbabwe,38 runs,Mirpur,10-Jan-09
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Mirpur,14-Jan-09
Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Mirpur,16-Jan-09
Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Mirpur,19-Jan-09
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Mirpur,21-Jan-09
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Mirpur,23-Jan-09
West Indies,Bangladesh,Bangladesh,52 runs,Roseau,26-Jul-09
West Indies,Bangladesh,Bangladesh,3 wickets,Roseau,28-Jul-09
West Indies,Bangladesh,Bangladesh,3 wickets,Basseterre,31-Jul-09
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Bulawayo,09-Aug-09
Zimbabwe,Bangladesh,Bangladesh,49 runs,Bulawayo,11-Aug-09
Zimbabwe,Bangladesh,Zimbabwe,69 runs,Bulawayo,14-Aug-09
Zimbabwe,Bangladesh,Bangladesh,4 wickets,Bulawayo,16-Aug-09
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Bulawayo,18-Aug-09
Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Mirpur,27-Oct-09
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Mirpur,29-Oct-09
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Mirpur,31-Oct-09
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,03-Nov-09
Bangladesh,Zimbabwe,Bangladesh,1 wicket,Chattogram,05-Nov-09
Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Mirpur,04-Jan-10
Bangladesh,India,India,6 wickets,Mirpur,07-Jan-10
Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Mirpur,08-Jan-10
Bangladesh,India,India,6 wickets,Mirpur,11-Jan-10
New Zealand,Bangladesh,New Zealand,146 runs,Napier,05-Feb-10
New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,08-Feb-10
New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,11-Feb-10
Bangladesh,England,England,6 wickets,Mirpur,28-Feb-10
Bangladesh,England,England,2 wickets,Mirpur,02-Mar-10
Bangladesh,England,England,45 runs,Chattogram,05-Mar-10
Bangladesh,India,India,6 wickets,Dambulla,16-Jun-10
Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,18-Jun-10
Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,21-Jun-10
England,Bangladesh,England,6 wickets,Nottingham,08-Jul-10
England,Bangladesh,Bangladesh,5 runs,Bristol,10-Jul-10
England,Bangladesh,England,144 runs,Birmingham,12-Jul-10
Ireland,Bangladesh,Ireland,7 wickets,Belfast,15-Jul-10
Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,16-Jul-10
Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,20-Jul-10
Bangladesh,New Zealand,Bangladesh,9 runs,Mirpur,05-Oct-10
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,11-Oct-10
Bangladesh,New Zealand,Bangladesh,9 runs,Mirpur,14-Oct-10
Bangladesh,New Zealand,Bangladesh,3 runs,Mirpur,17-Oct-10
Bangladesh,Zimbabwe,Zimbabwe,9 runs,Mirpur,01-Dec-10
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Mirpur,03-Dec-10
Bangladesh,Zimbabwe,Bangladesh,65 runs,Mirpur,06-Dec-10
Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chattogram,12-Dec-10
Bangladesh,India,India,87 runs,Mirpur,19-Feb-11
Bangladesh,Ireland,Bangladesh,27 runs,Mirpur,25-Feb-11
Bangladesh,West Indies,West Indies,9 wickets,Mirpur,04-Mar-11
Bangladesh,England,Bangladesh,2 wickets,Chattogram,11-Mar-11
Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram,14-Mar-11
Bangladesh,South Africa,South Africa,206 runs,Mirpur,19-Mar-11
Bangladesh,Australia,Australia,60 runs,Mirpur,09-Apr-11
Bangladesh,Australia,Australia,9 wickets,Mirpur,11-Apr-11
Bangladesh,Australia,Australia,66 runs,Mirpur,13-Apr-11
Zimbabwe,Bangladesh,Zimbabwe,4 wickets,Harare,12-Aug-11
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,14-Aug-11
Zimbabwe,Bangladesh,Zimbabwe,5 runs,Harare,16-Aug-11
Zimbabwe,Bangladesh,Bangladesh,6 wickets,Bulawayo,19-Aug-11
Zimbabwe,Bangladesh,Bangladesh,93 runs,Bulawayo,21-Aug-11
Bangladesh,West Indies,West Indies,40 runs,Mirpur,13-Oct-11
Bangladesh,West Indies,West Indies,8 wickets,Mirpur,15-Oct-11
Bangladesh,West Indies,Bangladesh,8 wickets,Chattogram,18-Oct-11
Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,01-Dec-11
Bangladesh,Pakistan,Pakistan,76 runs,Mirpur,03-Dec-11
Bangladesh,Pakistan,Pakistan,58 runs,Chattogram,06-Dec-11
Bangladesh,Pakistan,Pakistan,21 runs,Mirpur,11-Mar-12
Bangladesh,India,Bangladesh,5 wickets,Mirpur,16-Mar-12
Bangladesh,Sri Lanka,Bangladesh,5 wickets,Mirpur,20-Mar-12
Bangladesh,Pakistan,Pakistan,2 runs,Mirpur,22-Mar-12
Bangladesh,West Indies,Bangladesh,7 wickets,Khulna,30-Nov-12
Bangladesh,West Indies,Bangladesh,160 runs,Khulna,02-Dec-12
Bangladesh,West Indies,West Indies,4 wickets,Mirpur,05-Dec-12
Bangladesh,West Indies,West Indies,75 runs,Mirpur,07-Dec-12
Bangladesh,West Indies,Bangladesh,2 wickets,Mirpur,08-Dec-12
Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Hambantota,23-Mar-13
Sri Lanka,Bangladesh,no result,,Hambantota,25-Mar-13
Sri Lanka,Bangladesh,Bangladesh,3 wickets,Pallekele,28-Mar-13
Zimbabwe,Bangladesh,Bangladesh,121 runs,Bulawayo,03-May-13
Zimbabwe,Bangladesh,Zimbabwe,6 wickets,Bulawayo,05-May-13
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Bulawayo,08-May-13
Bangladesh,New Zealand,Bangladesh,43 runs,Mirpur,29-Oct-13
Bangladesh,New Zealand,Bangladesh,40 runs,Mirpur,31-Oct-13
Bangladesh,New Zealand,Bangladesh,4 wickets,Fatullah,03-Nov-13
Bangladesh,Sri Lanka,Sri Lanka,13 runs,Mirpur,17-Feb-14
Bangladesh,Sri Lanka,Sri Lanka,61 runs,Mirpur,20-Feb-14
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,22-Feb-14
Bangladesh,India,India,6 wickets,Fatullah,26-Feb-14
Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,01-Mar-14
Bangladesh,Pakistan,Pakistan,3 wickets,Mirpur,04-Mar-14
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Mirpur,06-Mar-14
Bangladesh,India,India,7 wickets,Mirpur,15-Jun-14
Bangladesh,India,India,47 runs,Mirpur,17-Jun-14
Bangladesh,India,no result,,Mirpur,19-Jun-14
West Indies,Bangladesh,West Indies,3 wickets,St George's,20-Aug-14
West Indies,Bangladesh,West Indies,177 runs,St George's,22-Aug-14
West Indies,Bangladesh,West Indies,91 runs,Basseterre,25-Aug-14
Bangladesh,Zimbabwe,Bangladesh,87 runs,Chattogram,21-Nov-14
Bangladesh,Zimbabwe,Bangladesh,68 runs,Chattogram,23-Nov-14
Bangladesh,Zimbabwe,Bangladesh,124 runs,Mirpur,26-Nov-14
Bangladesh,Zimbabwe,Bangladesh,21 runs,Mirpur,28-Nov-14
Bangladesh,Zimbabwe,Bangladesh,5 wickets,Mirpur,01-Dec-14
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,18-Feb-15
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,26-Feb-15
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,05-Mar-15
Bangladesh,England,Bangladesh,15 runs,Adelaide,09-Mar-15
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,13-Mar-15
Bangladesh,India,India,109 runs,Melbourne,19-Mar-15
Bangladesh,Pakistan,Bangladesh,79 runs,Mirpur,17-Apr-15
Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,19-Apr-15
Bangladesh,Pakistan,Bangladesh,8 wickets,Mirpur,22-Apr-15
Bangladesh,India,Bangladesh,79 runs,Mirpur,18-Jun-15
Bangladesh,India,Bangladesh,6 wickets,Mirpur,21-Jun-15
Bangladesh,India,India,77 runs,Mirpur,24-Jun-15
Bangladesh,South Africa,South Africa,8 wickets,Mirpur,10-Jul-15
Bangladesh,South Africa,Bangladesh,7 wickets,Mirpur,12-Jul-15
Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,15-Jul-15
Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur,07-Nov-15
Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur,09-Nov-15
Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur,11-Nov-15
Bangladesh,Afghanistan,Bangladesh,7 runs,Mirpur,25-Sep-16
Bangladesh,Afghanistan,Afghanistan,2 wickets,Mirpur,28-Sep-16
Bangladesh,Afghanistan,Bangladesh,141 runs,Mirpur,01-Oct-16
Bangladesh,England,England,21 runs,Mirpur,07-Oct-16
Bangladesh,England,Bangladesh,34 runs,Mirpur,09-Oct-16
Bangladesh,England,England,4 wickets,Chattogram,12-Oct-16
New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,26-Dec-16
New Zealand,Bangladesh,New Zealand,67 runs,Nelson,29-Dec-16
New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,31-Dec-16
Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,25-Mar-17
Sri Lanka,Bangladesh,no result,,Dambulla,28-Mar-17
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),01-Apr-17
Ireland,Bangladesh,no result,,Dublin (Malahide),12-May-17
Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,17-May-17
Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),19-May-17
Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,24-May-17
England,Bangladesh,England,8 wickets,The Oval,01-Jun-17
Australia,Bangladesh,no result,,The Oval,05-Jun-17
Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,09-Jun-17
Bangladesh,India,India,9 wickets,Birmingham,15-Jun-17
South Africa,Bangladesh,South Africa,10 wickets,Kimberley,15-Oct-17
South Africa,Bangladesh,South Africa,104 runs,Paarl,18-Oct-17
South Africa,Bangladesh,South Africa,200 runs,East London,22-Oct-17
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,15-Jan-18
Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,19-Jan-18
Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,23-Jan-18
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,25-Jan-18
Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,27-Jan-18
West Indies,Bangladesh,Bangladesh,48 runs,Providence,22-Jul-18
West Indies,Bangladesh,West Indies,3 runs,Providence,25-Jul-18
West Indies,Bangladesh,Bangladesh,18 runs,Basseterre,28-Jul-18
Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),15-Sep-18
Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,20-Sep-18
Bangladesh,India,India,7 wickets,Dubai (DSC),21-Sep-18
Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,23-Sep-18
Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,26-Sep-18
Bangladesh,India,India,3 wickets,Dubai (DSC),28-Sep-18
Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,21-Oct-18
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,24-Oct-18
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,26-Oct-18
Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,09-Dec-18
Bangladesh,West Indies,West Indies,4 wickets,Mirpur,11-Dec-18
Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,14-Dec-18
New Zealand,Bangladesh,New Zealand,8 wickets,Napier,13-Feb-19
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,16-Feb-19
New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,20-Feb-19
Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,07-May-19
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),13-May-19
Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,15-May-19
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),17-May-19
Bangladesh,South Africa,Bangladesh,21 runs,The Oval,02-Jun-19
Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,05-Jun-19
England,Bangladesh,England,106 runs,Cardiff,08-Jun-19
Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,17-Jun-19
